X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
-8.02526320935263,12.586182699282,5304936229,node,12,,doctors,,,,,78283447,,,,8e5eaf2268d4441689ec83969f9a396f,,,,,,0,3,,2019/12/11 23:25:56,,,,,Cabinet Médical Fakola,,SerV,,,,,doctor,
-11.097120835695,14.5414489500401,5838143185,node,9,,doctors,,,,,61743274,,,,b6523eccc9ae41c597ea95c178a757cf,,,,,,0,1,,2018/08/17 11:34:00,,,,,Centre de santé,,Kassé Sacko,,,,,,
-3.12367174332056,13.8497532615848,5398085025,node,9,,doctors,,,,,56178233,,,,663404e2273c4359a7148078188ec174,,,,,,0,1,,2018/02/08 10:22:12,,,,,Centre Santé Zon,,Toure 15,,,,,,
-8.07289932528738,12.5789778667711,6439880257,node,9,,clinic,,,,,69754599,,,,f129434aab0a4e0ca992befc42677d03,,,,,,0,1,,2019/05/01 00:06:32,,,,,Clinique Medicale Carrefour Manding,,Nathalie SIDIBE,,,,,,
-6.27001104508184,13.4409779859153,3196155326,node,15,,clinic,,,,,95319631,,,,6137d392f0404f5cac221be6ee7e2eee,,,,Cluster Nutrition,,0,2,,2020/12/05 00:01:35,,,,,Centre de Santé Communautaire de Bananissabakoro,,Greg_Rose,,,,,clinic,
-7.90640270939127,12.5736207409959,3386406417,node,9,,clinic,,,,,29295939,,,,a8357ee20580442d86a5eea7410f90d1,,,,,,0,1,,2015/03/06 19:09:08,,,,,Clinique Baflaba,,Araba,,,,,,
-7.96230002909383,12.5653199746451,3192798437,node,15,,clinic,,,,,26858587,,,,4e314da07ed64c8c9a01576d57df028e,,,,OMS Survey,,0,1,,2014/11/18 06:40:01,,,,,Centre de Santé Communautaire ANIASCO,,jgc,yes,,,,,
-8.0382285048195,12.6209914858761,6274246959,node,9,,pharmacy,,,,,67734710,,,,2c51bbe2e10e40d2b7bdaccda2a36952,,"08:30-12:30,15:30-20:00",,,,0,2,,2019/03/03 11:38:47,,,,,,,Jean-Marc Liotier,,,,,,
-8.36800006830796,11.1299999415464,2163839259,node,12,,clinic,,,,,26816057,,,,69c5d1ba7fa64334843297fe09514867,,,,OMS Survey,,0,2,,2014/11/16 08:09:47,,,,,Centre de Santé Communautaire de Fougatié,,jgc,,,,,,
-7.93815101167965,12.6718706439677,1805225119,node,9,,pharmacy,,,,,12048811,,,,959549ca677e4ef8b1c677cd9a1b9d4d,,,,,,0,1,,2012/06/28 16:58:24,,,,,,,Fadiga Ibrahima,,,,no,,
-5.97755487633154,14.2537577256059,5037869090,node,9,,pharmacy,,,,,51154990,,,,d54fe09eb8f74de3800b21dee2374665,,,,,,0,1,,2017/08/15 23:53:33,,,,,Pharmacie Dr kone Cheick Oumar,,Araba,,,,,,
-7.95442330322459,12.5743947259349,3400339408,node,9,,clinic,,,,,29500821,,,,5205e593d0ab45a7a223a493fbc7a265,,,,,,0,1,,2015/03/15 17:43:03,,,,,"Clinique Medical ""Notre Santé",,kalifaba,,,,,,
-7.95416011146494,12.6618213287959,4087129589,node,12,,pharmacy,,Rue 95,,,38181329,,,,b37997490628480cb7fd95c96f1b78cc,,,,,,0,1,,2016/03/30 20:51:32,,,,,Pharmacie Amani,,Makank40,,,,,,
-7.96272080063315,12.6097108691281,3386438299,node,12,,pharmacy,,,,,31738583,,,,b4eaaf85660b418fbc0ad00887258253,,,,,,0,3,,2015/06/05 07:35:19,,,,,Parmacie Fanta Sangaré,,werner2101,,,,yes,,
0.501345978739522,15.665389745965,3189067677,node,12,,clinic,,,,,28594828,,,,b99b42badb51423b888739e9b3f0ef93,,,,OMS Survey,,0,4,,2015/02/03 17:57:26,,,,,Centre de Santé de Référence d'Ansongo,,Vincent Turmine,,,,,,
-8.33818681218619,13.1358161930585,2163839203,node,15,,clinic,,,,,26881046,,,,5637a00d93ac4db6b3989e4ae9e1e3e0,,,,OMS Survey,,0,2,,2014/11/19 07:55:36,,,,,Centre de Santé Communautaire de Faladié,,jgc,no,,,,,
-6.63000607503335,13.3162730363282,2163839177,node,15,,clinic,,,,,26895573,,,,d16c2d67e0a64622bbab3b7a7455cf82,,,,OMS Survey,,0,2,,2014/11/19 20:59:07,,,,,Centre de Santé Communautaire de Dougoufe,,jgc,yes,,,,,
-7.91566647259768,12.5967641814863,3192798445,node,18,,clinic,,,,,93624858,,,,5b88af638aee4a84befd199901124a92,,,,OMS Survey,,0,2,,2020/11/05 21:18:31,,,,,Centre de Santé Communautaire ASACOCY,,Greg_Rose,yes,,,,clinic,
-6.68088171272564,11.3182941995594,8871980518,node,12,,hospital,,,,,107083223,,,,7a464910efe1451f92343d254e310b6b,,,,,,0,1,,2021/06/28 11:19:00,+22374144428,,,,CENTRE DE SANTÉ DE DJISSAN,,BOUARE,,,,,,
-7.95241550213839,12.5892117514508,3400339406,node,12,,doctors,,,,,71225528,,,,14787def56ac4781a19c2252c4f094e5,,,,,,0,2,,2019/06/13 16:47:26,,,,,Cabinet Medical la Sincérité,,mapman44,,,,,doctor,
-8.01087575637433,12.5759637343899,4612178506,node,9,,pharmacy,,,,,58229929,,,,759a4be7f5924ed79d390036e5f87b80,,,,,,0,3,,2018/04/19 11:20:54,,,,,Pharmacie Sanogo,,Nicolas Decoster,,,,,,
-7.75124161170893,12.730746556782,2163839924,node,15,,clinic,,,,,34101025,,,,be0e5aa8685d4c8e85ba6feed81095ce,,,,OMS Survey,,0,3,,2015/09/18 11:30:02,,,,,Centre de Santé Communautaire de Tienfala,,Jake Strine,yes,,,,,
-11.0253007498098,14.5966174632618,5838142785,node,9,,doctors,,,,,61743274,,,,78bf147470024577b105535527014d69,,,,,,0,1,,2018/08/17 11:33:43,,,,,Centre sante,,Kassé Sacko,,,,,,
-7.48335875231149,11.4184353951634,3189953563,node,12,,clinic,,,,,51071788,,,,b036cf9ada1947dabd8effd526502229,,,,OMS Survey,,0,2,,2017/08/13 04:17:30,,,,,Centre de Santé de Référence de Bougouni,,Pan,,,,,,
-8.00476920463629,12.6309460855421,2163840070,node,9,,clinic,,,,,25285672,,,,dc48f98020874080b2e7b1e6f4ffe35c,,,,,,0,2,,2014/09/07 12:24:13,,,,,Centre Médico Social Français,,Vincent Turmine,,,,,,
-6.49888905333748,13.3097219922648,2163839650,node,15,,clinic,,,,,26895573,,,,2cbcbdbf40474810b7f53fa5fa86c6a2,,,,OMS Survey,,0,2,,2014/11/19 20:59:10,,,,,Centre de Santé Communautaire de Ngara,,jgc,yes,,,,,
-3.41429294582812,14.4259321588927,2163839793,node,9,,clinic,,,,,15105537,,,,30207ea8b5f54736b3d96badded9c0d4,,,,,,0,2,,2013/02/20 21:39:03,,,,,CSCOM de SANGHA,,eknus,,,,,,
-9.59028682381506,15.2270504919742,2163840558,node,9,,clinic,,,,,37408098,,,,41a7ee0f29184888a432adcf8a9c93d4,,,,,,0,2,,2016/02/24 09:36:45,,,,,NIORO clinic,,Vincent Turmine,,,,,,
-6.22280542369407,13.4096581665172,5248938382,node,12,,hospital,,,,,95247829,,,,901a00a6698446a8a3ae6b332eed68cf,,,,,,0,2,,2020/12/03 20:53:30,,,,,Mali Gavardo,,Greg_Rose,,,,,hospital,
-7.95164646252223,12.5913750368409,3774243657,node,12,,pharmacy,,,,,71225528,,,,4eebb13f8bc44fc58f0384edbcd24635,,,,,,0,2,,2019/06/13 16:47:26,,,,,Pharmacie Mieux Vivre Dr Vieux Diall,,mapman44,,,,,pharmacy,
-11.4465570145808,14.4387063469673,5298695843,node,12,,hospital,,route du lycee,,,54831122,,,,37369be218434a76bc8b68da6be034e1,,,,,,0,1,,2017/12/22 03:33:07,,,,,CSCOM de Lafia,,Jeaan,,,,,,
-5.46781940929904,12.4021044547462,3989860934,node,6,,pharmacy,,,,,37017551,,,,2faa8e0dbd084d9a85163e06bd37169d,,,,,,0,1,,2016/02/05 11:38:06,,,,,,,Emmanuel Bama,,,,,,
,,607045463,way,9,,hospital,,,,,60611230,,,,da3cfbd3b1f3492b960f8b1686a2fd27,,,,,,0,1,,2018/07/11 11:51:35,,,,,Cscom Kafana,,skletios,,,,,,
,,215086559,way,9,,clinic,,,,,15583256,,,,995ae76e8801482698ec40d7901fe09f,,,,,,0,1,,2013/04/02 15:50:24,,,,,CSCOM de BENDIELY,,mapwitch,,,,,,
-7.61400001718323,11.5199999217452,3190396956,node,15,,clinic,,,,,26827982,,,,5a946991d1d74481a7032a1a840fa87b,,,,OMS Survey,,0,1,,2014/11/16 18:17:05,,,,,Centre de Santé Communautaire de Sakoro,,jgc,yes,,,,,
-8.05328634241363,12.6001767895444,6439880265,node,9,,clinic,,,,,69754599,,,,96e09123eddc4507a6f0cf9397bb3d5c,,,,,,0,1,,2019/05/01 00:06:32,,,,,Clinique Medicale Sept,,Nathalie SIDIBE,,,,,,
-12.1831203601717,14.5668495532362,6010895286,node,9,,doctors,,,,,63845522,,,,d969fa1709a74128a79b449047b16062,,,,,,0,1,,2018/10/24 19:50:29,,,,,Site ASC,,ly09,,,,,,
-8.47110007573215,12.6813799969371,2163839637,node,15,,clinic,,,,,26834382,,,,a5816bf448a0499abeee591de5cba7f2,,,,OMS Survey,,0,2,,2014/11/17 00:27:05,,,,,Centre de Santé Communautaire de Nana Kenieba,,jgc,no,,,,,
-5.45478974081581,12.3524895391103,5508318394,node,9,,clinic,,,,,58683868,,,,d5f6004512f945c3a6c6d68d39c031f6,,,,,,0,2,,2018/05/04 16:02:06,,,,,Cabinet de Soins Soungoba,,saliousoft,,,,,,
-7.97729550532836,12.6696330949156,3212518209,node,9,,clinic,,,,,58261856,,,,2f71a881d4604c879fb6094fe8308134,,,,,,0,2,,2018/04/20 11:47:36,,,,,Dispensaire évengélique des Assemblées de Dieu,,Doubassin,,,,,,
-8.33379603602779,12.3757935768655,2163839838,node,15,,clinic,,,,,26850038,,,,d944a6abde7748bd9101d89135255031,,,,OMS Survey,,0,2,,2014/11/17 18:59:48,,,,,Centre de Santé Communautaire de Siby,,jgc,yes,,,,,
-7.95339534661937,12.676435260798,8049747290,node,9,,pharmacy,,,,,95347947,,,,ee405d29885b44d78e52f9f53f29875a,,,,,,0,2,,2020/12/05 20:47:58,,,,,PHARMACIE,,UNGSC-DTLM-Ale_Zena,,,,,,
-3.99060000243563,15.9321999732133,3189067712,node,12,,clinic,,,,,51092805,,,,2194fc3a551244b5b0d00ae8094bb2ab,,,,OMS Survey,,0,5,,2017/08/13 21:00:03,,,,,Centre de Santé de Référence de Niafunké,,سامبا,,,,,,
-7.94073892428446,12.6801867492013,1118567824,node,12,,doctors,,,,,7072022,,,,fecbfdcc27b64fa3a4341e004d857829,,24/7,,,,0,1,,2011/01/24 11:37:21,,,,,chouala,,Fadiga Ibrahima,,,,,,
,,315559030,way,12,,hospital,,,,,92452531,,,,5428917a2a8c44edb29c04a70df53e9a,,,,,,0,4,,2020/10/14 06:36:26,,,,,Reanimacion Hospital de Kati,,Greg_Rose,,,,,hospital,
-10.7460163228016,14.6458663411861,5125184772,node,12,,pharmacy,,,,,52313847,,,,00b2d08fe7104bb6b01e030d45abc598,,,,survey,,0,1,,2017/09/23 20:27:17,,,,,Pharmacie du Centre de Santé,,Nathalie SIDIBE,,,,,,
-8.0121355564213,12.58480127782,4957687387,node,12,,pharmacy,,,,,77315665,,,,7b1cdbf692384faa8cd79e5276d32c9a,,,,,,0,3,,2019/11/20 10:24:49,,,,,Pharmacie Dunia,,SerV,,,,,pharmacy,
-6.85333702358781,12.9630230914984,4757784569,node,9,,hospital,,,,,69427941,,,,0ea98e09e46e4291b5af6a6d29a4b534,,,,,,0,2,,2019/04/21 15:47:46,,,,,CSCOM de Kalakè,,Nathalie SIDIBE,,,,,,
-8.00051195219544,11.4183221556515,2163839967,node,12,,clinic,,,,,26827982,,,,5430c5dea946491fa86a3acdf49f8966,,,,OMS Survey,,0,2,,2014/11/16 18:17:09,,,,,Centre de Santé Communautaire de Torakoro,,jgc,,,,,,
,,313406831,way,15,,hospital,,,,,93525563,,,,b3553075fa7d43cda3c6d4911b4e804d,,,,OMS Survey,,0,5,,2020/11/04 08:10:11,,,,,Hôpital du Mali,,Greg_Rose,,,,,hospital,
-8.12836765918553,10.9614168184933,3189645884,node,12,,clinic,,,,,26816057,,,,8db0f81a688c447092d30e5405620b75,,,,Cluster Nutrition,,0,1,,2014/11/16 08:09:47,,,,,Centre de Santé Communautaire de Flabougoula,,jgc,,,,,,
,,791279040,way,12,,hospital,,,,,83464336,,,,5b84db8f47a445adabfc9c2ed3ed9994,,,,,,0,1,,2020/04/13 09:18:25,,,,,Infirmerie Du Camp,,_aahu_,,,,,hospital,
-7.9919337448496,12.5826184625955,4281265693,node,9,,pharmacy,,,,,59971267,,,,f3bd646b9f0e46459a9710a64e0f2000,,,,,,0,3,,2018/06/19 09:27:49,,,,,pharmacie Faguibine,,YayaZie,,,,,,
-6.8371860181818,13.0706269469549,3602494771,node,12,,pharmacy,,,,,32049158,,,,6b608f66a8384211a0183cd76d0d83d9,,,,,,0,1,,2015/06/18 11:53:24,,,,,SEBE ALLAYE,,Mamery KANE,,,,no,,
,,674365063,way,12,,hospital,,,,,67762504,,,,1bda2fee4de9416db42d98c59550227a,,,,"OMS Survey;http://www.lib.utexas.edu/maps/ams/west_africa/txu-oclc-6595921-nd29-15-2nd-ed.jpg",,0,2,,2019/03/04 10:59:06,,,,,Centre Hospitalier Universitaire Point G,,Jean-Marc Liotier,,,,,,
-8.03628440619744,12.6420590642266,5069490894,node,9,,pharmacy,,,,,51583766,,,,baaac65574c243618ec363e7e9bd82a5,,,,,,0,1,,2017/08/30 15:33:38,,,,,Pharmacie Kadidia Tolo,,Araba,,,,,,
-7.99341004945555,12.5945799413383,3192801079,node,15,,clinic,,,,,93420082,,,,8cc8e7fa5c17427791a4a74701764329,,,,OMS Survey,,0,2,,2020/11/02 12:23:41,,,,,Centre de Santé Communautaire ASACOSAB III,,Jean-Marc Liotier,yes,,,,,
-9.49820105625599,13.0335041683516,7717739519,node,9,,pharmacy,,,,,92890631,,,,05358b0bbd8a4ff489365487c835c756,,,,,,0,2,,2020/10/22 11:02:50,,,,,Pharmacie Diahaba,,Daouda Sangare,,,,,,
,,432578961,way,6,,clinic,,,,,66980049,,,,64ed1b2ba96b49e39f8540540275306b,,,,,,0,2,,2019/02/07 00:31:40,,,,,,,Jean-Marc Liotier,,,,,,
-8.0310859498492,13.5684757856399,2163840484,node,9,,clinic,,,,,16963254,,,,149efca57d9245138931c580d7e4ba96,,,,,,0,2,,2013/07/15 14:46:01,,,,,KOLOKANI clinic,,Paul Mallet,,,,,,
-11.7861748835462,14.2776464849266,6010895285,node,9,,doctors,,,,,63845522,,,,01bf4196928a415fa6ee71dea8fc2afe,,,,,,0,1,,2018/10/24 19:50:22,,,,,SITE ASC Yassalam,,ly09,,,,,,
,,452891984,way,9,,clinic,,,,,44087832,,,,974738802f7d41a0bbe4b8ac6c7a4afd,,,,,,0,2,,2016/12/01 14:44:43,,,,,Dispensaire Maternité,,BINE CAMARA,,,,,,
-8.002642212887,12.5595157581545,4937736468,node,9,,pharmacy,,,,,58405748,,,,bbde25a25b8e48de80860ef402903dbd,,,,,,0,2,,2018/04/25 11:51:42,,,,,Pharmacie Tenema,,modibo b diakite,,,,,,
-6.2956414800629,13.431297139207,2163839816,node,18,,clinic,,,,,95319631,,,,6d47c35d97124c279140d4d632b7042e,,,,OMS Survey,,0,3,,2020/12/05 00:01:35,,,,,Centre de Santé Communautaire de Segou - Coura,,Greg_Rose,yes,,,,clinic,
-6.25950173106384,13.4469866370243,5915885692,node,9,,pharmacy,,,,,62727099,,,,82713a987ee04081ba9af415cdb4a000,,,,,,0,1,,2018/09/19 11:36:15,,,,,PHARMACIE ROND POINT DE SEGOU,,Rebeca Dembele,,,,,,
,,317294072,way,9,,,,,,,93624858,,,,b82d18861a304aafa1b33494c1a0734c,,,,,,0,2,,2020/11/05 21:18:31,,,,,Pharmacie Saint Joseph,,Greg_Rose,,,,,clinic,
-9.49125933168577,13.0361525982973,7722176729,node,9,,doctors,,,,,88106079,,,,d0525fca9b1b49488e2a1a24ce4dd23b,,,,,,0,1,,2020/07/16 20:57:46,,,,,Cabinet médical Mandé,,Daouda Sangare,,,,,,
-7.96458510353699,12.6169001951181,3811210190,node,12,,clinic,,,,,71225341,,,,15588b62768641fcaa79ee4a544096d6,,,,,,0,2,,2019/06/13 16:42:52,,,,,Clinique Kolaba,,mapman44,,,,,clinic,
-7.17778004359079,12.8519399918537,2163839459,node,12,,clinic,,,,,26895573,,,,73758104a572462ebed361acb9f10e38,,,,OMS Survey,,0,2,,2014/11/19 20:59:08,,,,,Centre de Santé Communautaire de Koni,,jgc,,,,,,
,,791286962,way,12,,hospital,,,,,83466463,,,,32d72354f43742f5bb59aa8ee8db4ed0,,,,,,0,1,,2020/04/13 09:47:40,,,,,Hôpital mère enfants,,_aahu_,,,,,hospital,
-10.7258213005715,15.121327954685,5900053876,node,9,,doctors,,,,,62499856,,,,39b64762591a49e3a2cc1836df194be8,,,,,,0,1,,2018/09/11 19:31:24,,,,,Cabinet Kagni Naré Cissé,,Nathalie SIDIBE,,,,,,
-8.13130275021979,12.1934599416563,2163838949,node,15,,clinic,,,,,28344216,,,,398766be66b044058d4dd1049f7dce84,,,,OMS Survey,,0,3,,2015/01/23 08:35:03,,,,,Centre de Santé Communautaire de Dangassa,,bdiscoe,yes,,,,,
,,791267667,way,9,,hospital,,,,,83461744,,,,9c71cf15376a40c9a8dad8468b7d77a2,,,,,,0,1,,2020/04/13 08:39:38,,,,,,,_aahu_,,,,,hospital,
-11.3398917646417,14.6168084621784,6566471916,node,12,,hospital,,,,,71539565,,,,7b2d00c6da504c27975e15d0dce4d008,,,,,,0,1,,2019/06/23 19:22:41,,,,,Cescom,,Janmoellmann,,,,,hospital,
-7.44261004621441,12.0397799262647,2163839253,node,12,,clinic,,,,,34100904,,,,a644b0ed101942dd9a30d574f8ebe3b8,,,,OMS Survey,,0,3,,2015/09/18 11:25:48,,,,,Centre de Santé Communautaire de Fogoba,,Jake Strine,,,,,,
-7.93411110198809,12.5788724224292,6232648475,node,9,,pharmacy,,,,,66596668,,,,97961597b8dc4c98b49307e92cd33c54,,,,,,0,1,,2019/01/24 10:24:08,,,,,espoir,,sangare ouleymatou,,,,,,
-8.02559597090863,12.6216763711844,5580113190,node,9,,clinic,,,,,58437180,,,,a7eb19035f0e4b7896ed5e9840f41c71,,,,,,0,1,,2018/04/26 09:44:40,,,,,Clinique du Pr. Somita KEITA,,Katouk,,,,,,
-7.91622236041613,12.5100632838021,2163840494,node,9,,doctors,,,,,27155066,,,,29284e7b05f54e369d7b436b363972d1,,,,,,0,2,,2014/12/01 14:14:18,,,,,Kalifa F DOUMBIA,,Precourt,,,,,,
-8.00386513256001,12.6099651760704,4946556103,node,12,,pharmacy,,,,,77315665,,,,1b54fccb7150456eb10adf972495121c,,,,,,0,2,,2019/11/20 10:24:49,,,,,Pharmacopée A3T,,SerV,,,,,pharmacy,
-8.04531314083883,12.6107173680612,4436471950,node,9,,pharmacy,,,,,54568176,,,,d3ba49c8e81e42fab59311bef64ab50a,,,,,,0,2,,2017/12/12 14:38:37,,,,,Pharmacie Tieba,,Nathalie SIDIBE,,,,,,
-7.92742376817915,12.2629924385273,4260910344,node,9,,pharmacy,,,,,40236756,,,,3d80908ec08b417ca6d2130fb90165a4,,,,survey,,0,1,,2016/06/23 15:27:23,,,,,,,Jean-Marc Liotier,,,,,,
-2.99927725942695,16.7494343591646,2163840781,node,9,,pharmacy,,,,,50899629,,,,e5ccf5d9970346c59db87004540ff55b,,,,,,0,3,,2017/08/07 00:03:46,,,,,Pharmacie BOUCTOU,,سامبا,,,,,,
-3.26678812996158,14.0845079897935,5206924121,node,9,,doctors,,,,,53458841,,,,86f16f1a86f34cf9b26280f3fb0c3e86,,,,,,0,1,,2017/11/02 17:53:08,,,,,CSCOM Pel,,Toure 15,,,,,,
-8.17009813760131,12.5902034982343,2163840495,node,9,,doctors,,,,,46888407,,,,b12d9041ca4646c5b88aa644756ccd8a,,,,,,0,3,,2017/03/16 06:02:10,,,,,Kati,,سامبا,,,,,,
-7.9949600309904,12.6340699370358,3192801068,node,15,,clinic,,,,,26858587,,,,d60a031f00cb4c41bf988e17e4288dfc,,,,OMS Survey,,0,1,,2014/11/18 06:40:04,,,,,Centre de Santé Communautaire ASACOM,,jgc,yes,,,,,
,,376095734,way,9,,hospital,,,,,34758398,,,,92283054c3f14ed0a97c937a1b59dce1,,,,,,0,1,,2015/10/20 15:42:45,,,,,CSCOM,,DABO22,,,,,,
-3.99548732253803,15.9280786752419,6754053786,node,9,,pharmacy,,,,,73853898,,,,f2e2f127e88e4ee698bee871bf245a38,,,,,,0,1,,2019/08/28 18:32:52,,,,,Pharmacie Toure,,Tounkarad,,,,,,
-6.89269885998579,13.3972295643105,3195205480,node,12,,clinic,,,,,26881046,,,,c60c08c96b14423bb354b1de7ae17ee8,,,,Cluster Nutrition,,0,1,,2014/11/19 07:55:34,,,,,Centre de Santé Communautaire de Séguéla,,jgc,,,,,,
-7.98463168226192,12.6196902792275,1879067601,node,6,,pharmacy,,,,,12830356,,,,e189c82456774b529d5e8533e75f5b18,,,,,,0,1,,2012/08/23 09:23:42,,,,,,,prior,,,,,,
-3.23674110256033,15.3244447702701,3078243244,node,9,,clinic,,,,,25455660,,,,77297cd3cefb4137bf25053033bd7480,,,,,,0,1,,2014/09/15 13:27:40,,,,,CSCOM de DIONA-KORAROU,,zaizone,,,,,,
-9.48929427830575,13.041568732671,7741756102,node,9,,pharmacy,,,,,88423726,,,,0f72e22a5aa54ef0a5fe38727977b8d2,,,,,,0,1,,2020/07/23 20:18:46,,,,,Pharmacie El hadji Oumar Kallé,,Daouda Sangare,,,,,,
-8.00159020021968,12.5904393649896,7727345510,node,9,,pharmacy,,,,,95347947,,,,799b6fc9201a4c788d6eff2a1d13e3e8,,,,,,0,2,,2020/12/05 20:47:58,,,,,PHARMACIE,,UNGSC-DTLM-Ale_Zena,,,,,,
-8.01670335837474,12.5425381294575,3526747836,node,9,,clinic,,,,,31265202,,,,7e2a9b5888be4b2caca7901049833e58,,,,,,0,1,,2015/05/18 19:34:02,,,,,Cabinet Medical M'BEWO,,Mamery KANE,,,,,,
-7.94799002490086,12.662959926523,3192801075,node,15,,clinic,,,,,93544512,,,,b23eaa98c42349569f49b19a5a22db00,,,,OMS Survey,,0,2,,2020/11/04 12:56:00,,,,,Centre de Santé Communautaire ASACONORD,,Jean-Marc Liotier,yes,,,,,
-8.04358294838576,12.6319123513399,4729875905,node,9,,pharmacy,,,,,69651977,,,,7cd0b4dbc35148dd9684cdf3eb49988f,,,,,,0,2,,2019/04/27 23:22:12,,,,,Pharmacie M'PEO,,Nathalie SIDIBE,,,,,,
,,791360112,way,15,,hospital,,,,,83476219,,,,b5d32a72de054f9381f5e1d9c02eb8cf,,24/7,,,,0,1,,2020/04/13 12:15:34,,,,,Soins Cabinet médical,,_aahu_,,,,,hospital,
-9.43150767762788,15.1155248278419,5462911722,node,9,,doctors,,,,,56979675,,,,7d253b38379a4abebe4fba28c5c416af,,,,,,0,1,,2018/03/07 20:06:57,,,,,Centre de Santé Fassoudebe,,Toure 15,,,,,,
-7.99407624311979,13.3832976677697,5061818825,node,9,,hospital,,,,,51478236,,,,eeaceaaf2b324a0bbf7ef63eeed374da,,,,,,0,1,,2017/08/27 10:26:36,,,,,Centre Santé Tioribougou,,Toure 15,,,,,,
-7.36188008107484,12.2736099629153,2163839136,node,15,,clinic,,,,,26895573,,,,664759807c3b422593ec25c4e1ffc362,,,,OMS Survey,,0,2,,2014/11/19 20:59:07,,,,,Centre de Santé Communautaire de Djele,,jgc,yes,,,,,
-8.03625431516502,12.6388279243723,7500362485,node,9,,pharmacy,,,,,95347947,,,,1512f5facb9c4b74bb7f9524a47211bd,,,,,,0,2,,2020/12/05 20:47:58,,,,,PHARMACIE Lafia,,UNGSC-DTLM-Ale_Zena,,,,,,
-12.1500830049943,14.6191719912352,6967388586,node,9,,doctors,,,,,76926992,,,,2424e4f4712a4146b504e347c45e084e,,,,,,0,1,,2019/11/11 19:24:03,,,,,CSCOM DE FEGUI,,ly09,,,,,,
